id,phrase,polarityn,polarity,partofspeech,subjecttype,stemmed,polaritytype,personality,source
29460,provocative,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29461,prowess,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29462,prudence,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29463,prudence,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29464,prudent,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29465,prudently,1,positive,adverb,strongsubj,False,priorpolarity,No,mpqa
29466,pugnacious,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29467,pugnaciously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29468,pugnacity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29469,punch,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29470,punch,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29471,punctual,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29472,pundits,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29473,pundits,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29474,punishable,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29475,punitive,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29476,punitive,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29477,puny,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29478,puppet,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29479,puppet,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29480,puppets,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29481,puppets,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29482,pure,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29483,purification,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29484,purity,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29485,purposeful,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29486,puzzled,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29487,puzzlement,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29488,puzzling,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29489,quaint,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29490,qualified,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29491,qualify,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29492,qualms,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29493,qualms,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29494,quandary,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29495,quarrel,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29496,quarrel,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29497,quarrellous,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29498,quarrellously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29499,quarrels,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29500,quarrelsome,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
